356;449
202;86
25;41
59;127
139;496
281;497
208;186
486;260
353;366
426;273
18;329
497;354
132;218
55;383
58;284
444;354
1;138
488;104
92;130
446;44
30;36
230;338
444;374
105;213
151;178
116;398
54;349
357;415
105;325
255;476
341;488
483;220
341;317
397;92
29;177
466;0
5;273
331;142
113;370
95;406
279;423
246;143
220;107
101;22
420;462
426;349
304;321
460;187
437;430
423;477
233;169
91;211
372;401
352;477
205;384
149;378
308;297
93;88
341;336
386;33
314;236
453;155
322;224
307;480
493;68
246;160
430;302
287;75
214;483
481;369
45;243
404;24
23;298
96;381
339;293
483;391
115;215
310;466
287;292
395;99
22;480
110;67
383;263
160;479
15;86
155;347
343;144
99;89
264;217
490;495
7;66
130;114
85;285
207;252
451;157
340;174
129;404
164;474
290;284
478;425
